Q1;Q2;Q3;Q4;Q5;Q6
10;10;10;10;10;8,8889
10;10;10;10;10;9,1667
10;10;10;10;10;8,7037
10;10;10;10;10;8,6111
10;6,6667;10;10;10;9,1667
10;10;10;10;10;4,2593
9,3333;10;10;10;10;10
10;10;10;10;10;10
10;10;10;10;6,6667;9,537
10;6,6667;10;10;10;6,6667
10;10;10;10;10;10
10;10;10;10;;9,6296
10;10;10;10;10;9,5556
10;10;9;10;10;7,6852
10;10;10;10;10;10
6,6667;10;;10;10;4,2963
10;10;7,5;10;10;9,7222
10;10;5;10;10;10
10;10;9;7,5;10;8,3333
10;10;10;10;10;10
10;10;10;10;10;10
10;10;10;10;10;9,2593
10;10;7,5;10;10;9,2593
10;10;10;10;8,3333;10
10;10;6;10;10;0,5926
5,3333;6,6667;10;5;10;10
10;10;10;10;;10
5,3333;6,6667;7,5;10;10;7,7778
10;10;9;10;10;10
10;10;10;10;10;
6,6667;10;10;10;10;9,2593
9,3333;10;7,5;10;6,6667;9,2593
10;10;10;10;10;9,4444
10;10;10;10;10;10
10;10;10;10;10;2,5
10;10;10;10;10;10
10;10;10;10;6,6667;
10;10;10;10;10;10
10;10;10;10;10;10
10;10;10;10;10;10
10;10;7,5;10;;
8,6667;10;10;10;10;10
10;10;;10;;7,7778
10;10;10;10;10;10
10;10;10;10;10;10
10;10;10;10;;10
10;10;9;10;10;9,8148
10;10;8;10;10;
10;10;10;10;10;10
7,3333;3,3333;7,5;10;4,1667;9,8148
10;3,3333;;10;10;9,5556
10;10;10;10;10;9,7222
10;10;10;10;10;10
10;10;;10;3,3333;10
10;10;10;10;;10
10;10;10;10;10;10
10;10;7,5;10;10;2,2222
10;10;7,5;10;10;
10;10;10;10;10;10
10;10;10;10;10;10
10;10;10;10;10;10
10;10;9,5;10;10;9,9074
10;6,6667;10;10;10;10
10;10;10;10;10;
8;10;10;10;10;
10;10;10;10;10;9,1667
10;10;10;10;10;10
9,3333;10;10;10;10;8,8889
8,6667;10;10;6,875;3,3333;8,7037
10;10;9;7,5;10;10
10;10;7,5;10;;8,7037
10;10;7,5;10;10;10
10;10;10;10;10;10
10;10;10;10;8,3333;9,037
10;10;9;10;10;9,8148
8,6667;10;10;10;10;6,3889
6,6667;6,6667;10;10;10;9,9074
10;10;10;10;10;10
10;6,6667;7,5;7,5;3,3333;
10;10;10;10;10;10
6,6667;6,6667;5;;8,3333;9,2593
10;10;10;10;10;10
10;10;7,5;10;10;10
10;10;10;8,75;3,3333;
10;10;;10;10;8,8889
10;10;10;10;10;
10;10;10;10;10;9,9074
10;10;10;10;10;8,1481
7,3333;6,6667;2,5;10;10;4,4444
10;10;10;10;10;9,7778
10;10;7,5;10;10;8,8889
10;10;10;10;10;10
10;10;10;10;10;9,5556
10;10;10;10;10;8,8889
10;10;10;10;10;
6,6667;10;10;10;10;9,537
10;10;10;10;10;6,5741
10;10;10;10;10;7,7778
10;10;10;10;10;10
10;10;9;10;10;10
4;6,6667;10;;10;8,6481
10;10;10;10;10;10
10;10;0;10;10;1,1111
10;10;10;10;10;10
10;10;10;10;10;9,8148
8,6667;10;7,5;10;10;7,7778
10;10;10;10;10;10
10;10;10;;6,6667;
10;10;10;10;10;
3,3333;6,6667;10;10;8,3333;7,1667
10;10;10;10;10;10
7,3333;3,3333;10;10;10;
10;6,6667;10;10;8,3333;8,8889
6,6667;10;10;10;10;4,7222
10;10;9;;10;8,5185
10;10;10;6,25;10;9,8148
10;10;10;10;10;10
6,6667;3,3333;9;7,5;8,3333;4,4444
10;10;10;10;10;9,1667
10;10;10;10;10;9,4444
10;10;10;10;10;10
6,6667;10;7,5;10;8,3333;10
